time;temperature at 2m;relative humidity;precipitation;wind_speed
2022-10-13-12-30;16.1;72;0;1.2
2022-10-13-12-40;16.3;71;0;1.7
2022-10-13-12-50;16.6;69;0;1.4
2022-10-13-13-00;16.8;69;0;1
2022-10-13-13-10;17.3;67;0;1.2
2022-10-13-13-20;17.6;65;0;1.3
2022-10-13-13-30;18;64;0;1.4
2022-10-13-13-40;18.1;63;0;1.6
2022-10-13-13-50;18.1;62;0;1.4
2022-10-13-14-00;18.2;62;0;1.9
2022-10-13-14-10;17.9;62;0;1.5
2022-10-13-14-20;18.1;62;0;0.8
2022-10-13-14-30;18.4;61;0;0.9
2022-10-13-14-40;19.3;57;0;0.8
2022-10-13-14-50;19.3;55;0;1.1
2022-10-13-15-00;19.3;56;0;1.7
2022-10-13-15-10;19.2;56;0;1.9
2022-10-13-15-20;19.2;54;0;1.6
2022-10-13-15-30;18.7;56;0;1.7
2022-10-13-15-40;18.8;56;0;1.7
2022-10-13-15-50;18.8;56;0;1.6
2022-10-13-16-00;18.6;56;0;1.2
2022-10-13-16-10;18.3;57;0;1.4
2022-10-13-16-20;18;58;0;1.3
2022-10-13-16-30;17.5;61;0;1.1
2022-10-13-16-40;17.2;62;0;1
2022-10-13-16-50;16.8;64;0;0.9
2022-10-13-17-00;16.5;65;0;0.8
2022-10-13-17-10;16.1;67;0;0.9
2022-10-13-17-20;15.8;68;0;0.7
2022-10-13-17-30;15.6;70;0;0.9
2022-10-13-17-40;15.2;71;0;0.8
2022-10-13-17-50;14.9;73;0;0.7
2022-10-13-18-00;14.5;74;0;0.5
2022-10-13-18-10;14.3;76;0;1
2022-10-13-18-20;14.2;78;0;0.8
2022-10-13-18-30;13.9;79;0;0.8
2022-10-13-18-40;13.7;81;0;0.7
2022-10-13-18-50;13.6;82;0;0.8
2022-10-13-19-00;13.6;82;0;1.2
2022-10-13-19-10;13.4;83;0;1.1
2022-10-13-19-20;13.3;83;0;1.1
2022-10-13-19-30;13.1;83;0;0.9
2022-10-13-19-40;12.9;84;0;0.6
2022-10-13-19-50;12.7;85;0;0.6
2022-10-13-20-00;12.5;86;0;0.7
2022-10-13-20-10;12.3;87;0;0.3
2022-10-13-20-20;12.2;88;0;0.7
2022-10-13-20-30;12.1;89;0;0.7
2022-10-13-20-40;11.9;89;0;1.2
2022-10-13-20-50;11.9;90;0;1.1
2022-10-13-21-00;12;89;0;0.6
2022-10-13-21-10;12;89;0;0.9
2022-10-13-21-20;11.8;90;0;1.2
2022-10-13-21-30;11.6;91;0;0.5
2022-10-13-21-40;11.4;91;0;0.5
2022-10-13-21-50;11.2;92;0;0.7
2022-10-13-22-00;10.9;92;0;0.3
2022-10-13-22-10;10.7;93;0;0.3
2022-10-13-22-20;10.8;93;0;1
2022-10-13-22-30;10.8;94;0;0.8
2022-10-13-22-40;10.7;94;0;0.5
2022-10-13-22-50;10.5;94;0;1
2022-10-13-23-00;10.7;94;0;1.3
2022-10-13-23-10;10.7;94;0;0.9
2022-10-13-23-20;10.7;94;0;0.6
2022-10-13-23-30;10.5;94;0;0.6
2022-10-13-23-40;10.4;95;0;0.5
2022-10-13-23-50;10.3;95;0;0.6
2022-10-14-00-00;10.3;95;0;1
2022-10-14-00-10;10.3;95;0;1.3
2022-10-14-00-20;10.2;95;0;0.4
2022-10-14-00-30;10.2;95;0;0.6
2022-10-14-00-40;10.4;95;0;0.8
2022-10-14-00-50;10.5;95;0;0.6
2022-10-14-01-00;10.7;94;0;0.5
2022-10-14-01-10;10.8;93;0;1
2022-10-14-01-20;10.8;94;0;0.9
2022-10-14-01-30;10.9;93;0;0.8
2022-10-14-01-40;11;92;0;1.1
2022-10-14-01-50;11;93;0;0.5
2022-10-14-02-00;11;92;0;0.8
2022-10-14-02-10;10.9;92;0;0.9
2022-10-14-02-20;10.9;93;0;0.9
2022-10-14-02-30;10.8;93;0;0.4
2022-10-14-02-40;10.8;93;0;0.3
2022-10-14-02-50;10.9;93;0;0.7
2022-10-14-03-00;10.9;92;0;1
2022-10-14-03-10;10.9;92;0;0.7
2022-10-14-03-20;10.6;92;0;0.5
2022-10-14-03-30;10.4;93;0;0.5
2022-10-14-03-40;10.2;93;0;0.8
2022-10-14-03-50;10.3;94;0;1.1
2022-10-14-04-00;10;94;0;0.4
2022-10-14-04-10;9.8;95;0;0.7
2022-10-14-04-20;9.7;95;0;0.7
2022-10-14-04-30;9.7;96;0;1
2022-10-14-04-40;10;95;0;1.5
2022-10-14-04-50;10.1;96;0;0.8
2022-10-14-05-00;10.1;95;0;1.2
2022-10-14-05-10;9.9;95;0;1.1
2022-10-14-05-20;9.9;95;0;1
2022-10-14-05-30;9.9;96;0;1
2022-10-14-05-40;9.9;95;0;0.6
2022-10-14-05-50;10;95;0;0.8
2022-10-14-06-00;10;95;0;0.8
2022-10-14-06-10;10.1;95;0;0.7
2022-10-14-06-20;10.2;95;0;1
2022-10-14-06-30;10.2;95;0;0.8
2022-10-14-06-40;10.1;95;0;1.3
2022-10-14-06-50;9.9;96;0;0.8
2022-10-14-07-00;9.9;96;0;1
2022-10-14-07-10;9.9;96;0;0.9
2022-10-14-07-20;9.9;96;0;1.2
2022-10-14-07-30;9.8;95;0;0.8
2022-10-14-07-40;9.9;95;0;1
2022-10-14-07-50;10;95;0;1.2
2022-10-14-08-00;10.1;95;0;1.3
2022-10-14-08-10;10.2;94;0;1
2022-10-14-08-20;10.3;94;0;1.5
2022-10-14-08-30;10.3;94;0;1.2
2022-10-14-08-40;10.5;93;0;1.2
2022-10-14-08-50;10.7;93;0;1.5
2022-10-14-09-00;10.9;92;0;1.4
2022-10-14-09-10;11;90;0;1.1
2022-10-14-09-20;11.2;90;0;0.9
2022-10-14-09-30;11.6;88;0;1.5
2022-10-14-09-40;12.2;84;0;1.2
2022-10-14-09-50;12.9;81;0;1.8
2022-10-14-10-00;13.3;77;0;1.5
2022-10-14-10-10;14.2;74;0;1.2
2022-10-14-10-20;14.5;73;0;1
2022-10-14-10-30;14.8;72;0;1.1
2022-10-14-10-40;15.3;71;0;0.9
2022-10-14-10-50;15.5;70;0;0.8
2022-10-14-11-00;15.7;70;0;1.2
2022-10-14-11-10;15.7;71;0;0.9
2022-10-14-11-20;16.3;69;0;0.9
2022-10-14-11-30;16.5;68;0;1.2
2022-10-14-11-40;17;65;0;1.1
2022-10-14-11-50;17.3;63;0;1.2
2022-10-14-12-00;17.7;63;0;1.5
2022-10-14-12-10;17.6;62;0;1.1
2022-10-14-12-20;18;61;0;1.6
2022-10-14-12-30;18;60;0;1.8
2022-10-14-12-40;18.1;59;0;1.9
2022-10-14-12-50;18.2;59;0;2
2022-10-14-13-00;18.1;59;0;1.4
2022-10-14-13-10;18.3;58;0;2.1
2022-10-14-13-20;18.4;58;0;1.3
2022-10-14-13-30;18.7;58;0;1.2
2022-10-14-13-40;19.3;55;0;1.4
2022-10-14-13-50;19.2;55;0;0.9
2022-10-14-14-00;19.5;53;0;1.3
2022-10-14-14-10;19.9;52;0;1.4
2022-10-14-14-20;19.8;52;0;1.4
2022-10-14-14-30;19.5;54;0;1.8
2022-10-14-14-40;19.4;55;0;1.6
2022-10-14-14-50;19.4;55;0;2.2
2022-10-14-15-00;19.4;54;0;1.2
2022-10-14-15-10;19.4;55;0;1.1
2022-10-14-15-20;19.4;54;0;1.3
2022-10-14-15-30;19.4;52;0;1.6
2022-10-14-15-40;19.3;53;0;1.9
2022-10-14-15-50;19.2;53;0;1.2
2022-10-14-16-00;19;54;0;1.4
2022-10-14-16-10;18.7;55;0;1.3
2022-10-14-16-20;18.4;57;0;1.4
2022-10-14-16-30;18;58;0;1.5
2022-10-14-16-40;17.7;60;0;1.3
2022-10-14-16-50;17.5;61;0;1.3
2022-10-14-17-00;17.2;63;0;1.1
2022-10-14-17-10;16.8;66;0;1
2022-10-14-17-20;16.6;67;0;1
2022-10-14-17-30;16.3;69;0;1
2022-10-14-17-40;16;71;0;0.9
2022-10-14-17-50;15.6;72;0;1.2
2022-10-14-18-00;15.3;74;0;1.3
2022-10-14-18-10;14.9;75;0;1.1
2022-10-14-18-20;14.5;77;0;0.9
2022-10-14-18-30;14.2;79;0;0.3
2022-10-14-18-40;14;80;0;0.3
2022-10-14-18-50;13.9;81;0;0.6
2022-10-14-19-00;13.8;82;0;0.5
